State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Mulakalacheruvu,Tomato,Local,FAQ,19/02/2025,1200,1600,1400
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Desi(Bontha),Large,19/02/2025,1450,1850,1650
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Karpura,Large,19/02/2025,1800,2900,2700
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Bulb,FAQ,19/02/2025,9200,11000,11000
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies","1st Sort",FAQ,19/02/2025,8000,12800,12000
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,FAQ,19/02/2025,2450,2650,2550
"Andhra Pradesh",Kurnool,Adoni,Sunflower,Local,Non-FAQ,19/02/2025,5200,5200,5200
"Andhra Pradesh",Kurnool,Kurnool,"Arhar (Tur/Red Gram)(Whole)",Local,FAQ,19/02/2025,4720,7478,7378
"Andhra Pradesh",Kurnool,Kurnool,Maize,Local,FAQ,19/02/2025,2110,2241,2241
"Andhra Pradesh",Kurnool,Yemmiganur,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",FAQ,19/02/2025,5770,6722,5830
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 3",FAQ,19/02/2025,2900,3130,3015
Assam,Barpeta,"Barpeta Road",Capsicum,Capsicum,Local,19/02/2025,700,800,800
Assam,Barpeta,"Barpeta Road",Pumpkin,Pumpkin,Local,19/02/2025,700,900,800
Assam,Cachar,Sonabarighat,"Bitter gourd","Bitter Gourd",Local,19/02/2025,3500,4000,3500
Assam,Cachar,Sonabarighat,Pumpkin,Pumpkin,Local,19/02/2025,1200,1300,1200
Assam,Darrang,Balugaon,Lemon,Lemon,Local,19/02/2025,2001,2334.5,2134.4
Assam,Darrang,Balugaon,Tomato,Tomato,Local,19/02/2025,400,600,500
Assam,Dhubri,Bilasipara,Capsicum,Capsicum,Local,19/02/2025,800,1200,1000
Assam,Dhubri,Bilasipara,Pumpkin,Pumpkin,Local,19/02/2025,800,1000,1000
Assam,Goalpara,Krishnai,Beetroot,Beetroot,Local,19/02/2025,2000,2500,2000
Assam,Goalpara,Krishnai,Cabbage,Cabbage,Local,19/02/2025,400,600,500
Assam,Golaghat,Golaghat,Ginger(Green),"Green Ginger",Local,19/02/2025,3200,3600,3300
Assam,Golaghat,Golaghat,Pumpkin,Pumpkin,Local,19/02/2025,1100,1200,1200
Assam,Jorhat,Jorhat,"Bottle gourd","Bottle Gourd",Local,19/02/2025,1000.05,1066.72,1066.72
Assam,Jorhat,Jorhat,Cauliflower,Cauliflower,Local,19/02/2025,700,800,800
Assam,Jorhat,Jorhat,"Green Chilli","Green Chilly",Local,19/02/2025,2500,2800,2800
Assam,Kamrup,"Brahmaputra Private Market",Beans,"Beans (Whole)",Local,19/02/2025,1600,1800,1700
Assam,Kamrup,"Brahmaputra Private Market",Ginger(Green),"Green Ginger",Local,19/02/2025,4000,4200,4000
Assam,Kamrup,"Brahmaputra Private Market",Tomato,Tomato,Local,19/02/2025,800,1000,900
Assam,Kamrup,Pamohi(Garchuk),Cabbage,Cabbage,Local,19/02/2025,700,900,800
Assam,Kamrup,Pamohi(Garchuk),Cauliflower,Cauliflower,Local,19/02/2025,800,1000,900
Assam,Kamrup,Pamohi(Garchuk),Ginger(Green),"Green Ginger",Local,19/02/2025,3800,4200,4000
Assam,Kokrajhar,"Dotma Bazar",Pumpkin,Pumpkin,Local,19/02/2025,1000,1100,1000
Assam,Kokrajhar,"Dotma Bazar",Tomato,Tomato,Local,19/02/2025,1200,1300,1200
Assam,MORIGAON,Kushtoli,Cabbage,Cabbage,Local,19/02/2025,700,800,700
Assam,MORIGAON,Kushtoli,Capsicum,Capsicum,Local,19/02/2025,1500,1700,1600
Assam,Nagaon,Dhing,"Bitter gourd","Bitter Gourd",Local,19/02/2025,3500,4000,3700
Assam,Nalbari,Dhamdhama,Lemon,Lemon,Local,19/02/2025,2001,2134.4,2001
Assam,Nalbari,Nalbari,Cauliflower,Cauliflower,Local,19/02/2025,1400,1600,1400
Assam,Nalbari,Nalbari,Lemon,Lemon,Local,19/02/2025,2001,2401.2,2267.8
Assam,Nalbari,Nalbari,Pumpkin,Pumpkin,Local,19/02/2025,1000,1200,1000
Assam,Sibsagar,Simalguri,Cabbage,Cabbage,Local,19/02/2025,700,800,700
Assam,Sibsagar,Simalguri,Cauliflower,Cauliflower,Local,19/02/2025,900,1000,900
Assam,Sibsagar,Simalguri,Ginger(Green),"Green Ginger",Local,19/02/2025,3500,3600,3500
Assam,Sibsagar,Simalguri,Lemon,Lemon,Local,19/02/2025,1767.55,1867.6,1867.6
Bihar,Bhojpur,Aarah,Potato,Jyoti,FAQ,19/02/2025,1000,1200,1100
Bihar,Jamui,Jamui,Potato,Jyoti,FAQ,19/02/2025,1100,1200,1200
Bihar,Madhubani,Jahajharpur,Onion,Medium,FAQ,19/02/2025,3000,3200,3100
Bihar,Madhubani,Jahajharpur,Potato,Jyoti,FAQ,19/02/2025,1500,1700,1600
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Green Chilli",Other,FAQ,19/02/2025,1500,2500,2000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,19/02/2025,1000,1500,1300
Chattisgarh,Balod,Dondilohara,Paddy(Dhan)(Common),"I.R. 64",Non-FAQ,19/02/2025,2100,2150,2140
Chattisgarh,Balodabazar,Bhatgaon,Paddy(Dhan)(Common),D.B.,FAQ,19/02/2025,2100,2100,2100
Chattisgarh,Balrampur,Ramanujganj,Paddy(Dhan)(Common),"Paddy fine",FAQ,19/02/2025,2300,2300,2300
Chattisgarh,Bastar,Lohandiguda,"Tamarind Fruit","Tamarind Fruit",FAQ,19/02/2025,3190,3210,3200
Chattisgarh,Bilaspur,Kota,Paddy(Dhan)(Common),"Paddy Coarse",FAQ,19/02/2025,2050,2050,2050
Chattisgarh,Bilaspur,Pendraroad,Paddy(Dhan)(Common),MTU-1010,FAQ,19/02/2025,2000,2000,2000
Chattisgarh,Dantewada,Gidam,Paddy(Dhan)(Common),1001,Non-FAQ,19/02/2025,2100,2300,2200
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),"I.R. 64",Non-FAQ,19/02/2025,2280,2440,2380
Chattisgarh,Dhamtari,Dhamtari,Paddy(Dhan)(Common),"Swarna Masuri (New)",Non-FAQ,19/02/2025,2200,2210,2205
Chattisgarh,Dhamtari,Kurud,Paddy(Dhan)(Common),1001,FAQ,19/02/2025,2200,2801,2801
Chattisgarh,Durg,Durg,Tomato,Local,Non-FAQ,19/02/2025,400,500,500
Chattisgarh,Gariyaband,Gariyaband,Paddy(Dhan)(Common),1001,Non-FAQ,19/02/2025,2100,2100,2100
Chattisgarh,Kanker,Korar,Paddy(Dhan)(Common),MTU-1001,Non-FAQ,19/02/2025,2000,2200,2100
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),"I.R. 64",Non-FAQ,19/02/2025,2200,2200,2200
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),MTU-1010,Non-FAQ,19/02/2025,2000,2000,2000
Chattisgarh,Kondagaon,Keshkal,Paddy(Dhan)(Common),"Paddy fine",Non-FAQ,19/02/2025,2100,2200,2100
Chattisgarh,Raigarh,Gharghoda,Paddy(Dhan)(Common),1001,FAQ,19/02/2025,2300,2300,2300
Chattisgarh,Raigarh,Kharsiya,Wheat,Deshi,FAQ,19/02/2025,2500,2500,2500
Chattisgarh,Raipur,Raipur,Paddy(Dhan)(Common),MTU-1010,FAQ,19/02/2025,1900,2225,2225
Chattisgarh,Surajpur,Surajpur,Paddy(Dhan)(Common),"I.R. 36",FAQ,19/02/2025,2310,2310,2310
Gujarat,Ahmedabad,Ahmedabad,"Amla(Nelli Kai)",Other,FAQ,19/02/2025,2000,4000,2850
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,19/02/2025,500,1000,700
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,19/02/2025,3000,5500,4750
Gujarat,Ahmedabad,Ahmedabad,"Sweet Potato",Other,FAQ,19/02/2025,1500,2500,2250
Gujarat,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,19/02/2025,300,800,550
Gujarat,Ahmedabad,Ahmedabad,"Yam (Ratalu)",Other,FAQ,19/02/2025,3700,4200,4000
Gujarat,Ahmedabad,"Ahmedabad(Chimanbhai Patal Market Vasana)",Potato,Desi,FAQ,19/02/2025,700,1200,1100
Gujarat,Ahmedabad,Viramgam,Cotton,Other,Non-FAQ,19/02/2025,6415,7210,6810
Gujarat,Amreli,Amreli,"Bengal Gram(Gram)(Whole)",Other,FAQ,19/02/2025,4100,5580,5445
Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)(Whole)",Hybrid,FAQ,19/02/2025,4325,6500,5980
Gujarat,Amreli,Amreli,"Corriander seed","Coriander Seed",FAQ,19/02/2025,4900,7025,6275
Gujarat,Amreli,Amreli,Jowar(Sorghum),"Jowar ( White)",FAQ,19/02/2025,4410,5330,4605
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,FAQ,19/02/2025,2750,3905,3875
Gujarat,Amreli,Amreli,Wheat,"Rajasthan Tukdi",FAQ,19/02/2025,2840,3500,3265
Gujarat,Amreli,Bagasara,"Arhar (Tur/Red Gram)(Whole)","777 New Ind",Non-FAQ,19/02/2025,6400,7000,6700
Gujarat,Amreli,Bagasara,"Bengal Gram(Gram)(Whole)","Average (Whole)",Non-FAQ,19/02/2025,3925,5250,4587
Gujarat,Amreli,Rajula,Jowar(Sorghum),Local,FAQ,19/02/2025,3750,5000,4375
Gujarat,Amreli,Rajula,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,19/02/2025,10000,10000,10000
Gujarat,Amreli,Savarkundla,"Arhar (Tur/Red Gram)(Whole)","Small (Whole)",Non-FAQ,19/02/2025,6250,7325,7000
Gujarat,Amreli,Savarkundla,Groundnut,Bold,Non-FAQ,19/02/2025,5100,5325,5250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,FAQ,19/02/2025,2000,2500,2250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Spinach,Spinach,FAQ,19/02/2025,1000,1500,1250
Gujarat,Anand,Borsad,Wheat,Other,FAQ,19/02/2025,2700,2750,2725
Gujarat,Anand,"Khambhat(Grain Market)",Wheat,Other,FAQ,19/02/2025,2500,3000,2750
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bottle gourd","Bottle Gourd",FAQ,19/02/2025,300,1000,700
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Onion,Other,FAQ,19/02/2025,2700,3800,3500
Gujarat,Banaskanth,Deesa,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,19/02/2025,2800,3185,3025
Gujarat,Banaskanth,Deesa,Groundnut,Other,FAQ,19/02/2025,4305,5105,5000
Gujarat,Banaskanth,Deesa,Mustard,Other,FAQ,19/02/2025,5300,5730,5575
Gujarat,Banaskanth,Deesa(Bhildi),"Castor Seed",Other,FAQ,19/02/2025,6200,6280,6275
Gujarat,Banaskanth,Deesa(Bhildi),Wheat,Other,FAQ,19/02/2025,2850,3005,2850
Gujarat,Banaskanth,Dhanera,"Guar Seed(Cluster Beans Seed)",Other,FAQ,19/02/2025,4800,4930,4875
Gujarat,Banaskanth,Palanpur,Mustard,Mustard,FAQ,19/02/2025,4800,5670,5235
Gujarat,Banaskanth,Palanpur,Wheat,Other,FAQ,19/02/2025,3105,3405,3255
Gujarat,Banaskanth,Panthawada,Groundnut,Other,FAQ,19/02/2025,4710,5265,5000
Gujarat,Banaskanth,Panthawada,Mustard,Other,FAQ,19/02/2025,5150,5960,5700
Gujarat,Banaskanth,Panthawada,Rajgir,Other,FAQ,19/02/2025,5000,6105,5750
Gujarat,Banaskanth,Thara,"Castor Seed","Castor seed",FAQ,19/02/2025,6200,6450,6325
Gujarat,Banaskanth,Thara(Shihori),"Castor Seed",Caster,FAQ,19/02/2025,6235,6340,6287.5
Gujarat,Banaskanth,Vadgam,"Guar Seed(Cluster Beans Seed)",Other,FAQ,19/02/2025,4655,4790,4750
Gujarat,Banaskanth,Vav,"Castor Seed",Other,FAQ,19/02/2025,6320,6410,6350
Gujarat,Bharuch,Ankleshwar,"Bhindi(Ladies Finger)",Bhindi,FAQ,19/02/2025,3000,5000,4000
Gujarat,Bharuch,Ankleshwar,"Bottle gourd","Bottle Gourd",FAQ,19/02/2025,1000,1200,1100
Gujarat,Bharuch,Ankleshwar,Brinjal,Brinjal,FAQ,19/02/2025,1500,2500,2000
Gujarat,Bharuch,Ankleshwar,Cauliflower,Cauliflower,FAQ,19/02/2025,500,900,600
Gujarat,Bharuch,Ankleshwar,Ginger(Green),"Green Ginger",FAQ,19/02/2025,2000,4500,3000
Gujarat,Bharuch,Ankleshwar,Lemon,Lemon,FAQ,19/02/2025,5000,7000,6000
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,19/02/2025,6800,7200,7000
Gujarat,Bharuch,Jambusar,Wheat,Other,FAQ,19/02/2025,2700,3300,3000
Gujarat,Bhavnagar,Bhavnagar,"Bengal Gram(Gram)(Whole)",Other,FAQ,19/02/2025,5200,5485,5345
Gujarat,Bhavnagar,Bhavnagar,Cotton,Other,FAQ,19/02/2025,6480,7320,6900
Gujarat,Bhavnagar,Bhavnagar,Onion,Red,FAQ,19/02/2025,1100,2810,1955
Gujarat,Bhavnagar,Bhavnagar,Wheat,Local,FAQ,19/02/2025,3185,3210,3200
Gujarat,Bhavnagar,"Mahuva(Station Road)",Onion,Red,FAQ,19/02/2025,1000,2875,1940
Gujarat,Bhavnagar,"Mahuva(Station Road)","Sesamum(Sesame,Gingelly,Til)",White,FAQ,19/02/2025,8855,9675,9265
Gujarat,Bhavnagar,Palitana,"Corriander seed",Other,FAQ,19/02/2025,5805,7125,6465
Gujarat,Bhavnagar,Taleja,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,19/02/2025,2120,3130,2625
Gujarat,Bhavnagar,Taleja,"Green Gram (Moong)(Whole)",Local,FAQ,19/02/2025,8500,9050,8775
Gujarat,Botad,Botad,"Arhar (Tur/Red Gram)(Whole)",Other,Non-FAQ,19/02/2025,6000,7150,6750
Gujarat,Botad,Botad,"Bengal Gram(Gram)(Whole)",Other,Non-FAQ,19/02/2025,4225,5650,4750
Gujarat,Botad,Botad,"Black Gram (Urd Beans)(Whole)",Other,Non-FAQ,19/02/2025,5500,5500,5500
Gujarat,Botad,Botad,"Cummin Seed(Jeera)",Other,FAQ,19/02/2025,14850,20500,17750
Gujarat,"Chhota Udaipur",Bodeliu,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,19/02/2025,6850,7201,7060
Gujarat,"Chhota Udaipur",Bodeliu,Maize,"Deshi Red",FAQ,19/02/2025,2200,2300,2250
Gujarat,"Chhota Udaipur","Modasar        ",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,19/02/2025,6850,7200,7050
Gujarat,Dahod,Dahod,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,19/02/2025,5750,5800,5790
Gujarat,Dahod,Dahod,"Dry Chillies","Dry Chillies",FAQ,19/02/2025,12500,20000,17500
Gujarat,Dahod,Dahod,Paddy(Dhan)(Common),"Paddy fine",Non-FAQ,19/02/2025,2100,2150,2125
Gujarat,Dahod,Dahod,Soyabean,Soyabeen,Non-FAQ,19/02/2025,4100,4165,4140
Gujarat,Dahod,"Dahod(Veg. Market)","Bhindi(Ladies Finger)",Bhindi,FAQ,19/02/2025,2000,4000,3000
Gujarat,Dahod,"Dahod(Veg. Market)","French Beans (Frasbean)",Other,FAQ,19/02/2025,4000,4000,4000
Gujarat,Dahod,"Dahod(Veg. Market)",Ginger(Green),"Green Ginger",FAQ,19/02/2025,2500,3500,3000
Gujarat,Dahod,"Dahod(Veg. Market)",Onion,Onion,FAQ,19/02/2025,700,3400,3000
Gujarat,Dahod,"Dahod(Veg. Market)","Onion Green","Onion Green",FAQ,19/02/2025,600,1500,1200
Gujarat,Dahod,"Dahod(Veg. Market)",Pumpkin,Pumpkin,FAQ,19/02/2025,1000,1500,1200
Gujarat,Dahod,"Dahod(Veg. Market)","Sweet Potato","Sweet Potato",FAQ,19/02/2025,1500,2500,2000
Gujarat,Dahod,Zalod(Zalod),Soyabean,Other,FAQ,19/02/2025,3800,3900,3850
Gujarat,Dahod,Zalod(Zalod),Wheat,Other,FAQ,19/02/2025,2750,2875,2812
Gujarat,"Devbhumi Dwarka",Bhanvad,Cotton,Bunny,FAQ,19/02/2025,6000,6700,6500
Gujarat,"Devbhumi Dwarka",Bhanvad,"Cummin Seed(Jeera)",Medium,FAQ,19/02/2025,19000,20200,19500
Gujarat,"Devbhumi Dwarka",Bhanvad,Groundnut,G20,Non-FAQ,19/02/2025,4500,5300,5000
Gujarat,Gandhinagar,Dehgam,"Castor Seed",Other,FAQ,19/02/2025,6050,6150,6100
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,19/02/2025,2400,2725,2562
Gujarat,Gandhinagar,Dehgam(Rekhiyal),Guar,Other,FAQ,19/02/2025,4700,4900,4800
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Methi(Leaves),Methi,FAQ,19/02/2025,1000,1000,1000
Gujarat,"Gir Somnath",Veraval,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,19/02/2025,7025,7350,7230
Gujarat,"Gir Somnath",Veraval,"Bengal Gram(Gram)(Whole)",Other,FAQ,19/02/2025,5000,5555,5500
Gujarat,"Gir Somnath",Veraval,"Black Gram (Urd Beans)(Whole)",Other,FAQ,19/02/2025,6355,8005,7505
Gujarat,"Gir Somnath",Veraval,Jowar(Sorghum),Other,FAQ,19/02/2025,2500,4805,4505
Gujarat,"Gir Somnath",Veraval,Soyabean,Other,Non-FAQ,19/02/2025,3650,3900,3850
Gujarat,Jamnagar,Jamnagar,"Bengal Gram(Gram)(Whole)",Other,FAQ,19/02/2025,5400,5625,5475
Gujarat,Jamnagar,Jamnagar,"Dry Chillies","1st Sort",FAQ,19/02/2025,3450,17475,10725
Gujarat,Jamnagar,Jamnagar,Groundnut,Other,FAQ,19/02/2025,6700,6850,6825
Gujarat,Junagarh,Bhesan,Soyabean,Other,FAQ,19/02/2025,3000,3850,3625
Gujarat,Junagarh,Junagadh,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,19/02/2025,7500,10640,9500
Gujarat,Junagarh,Junagadh,Wheat,Sharbati,FAQ,19/02/2025,2900,3090,3000
Gujarat,Junagarh,Kodinar(Dollasa),Cotton,Other,Non-FAQ,19/02/2025,5700,7175,7040
Gujarat,Junagarh,Mangrol,"Corriander seed","Coriander Seed",FAQ,19/02/2025,7000,7150,7100
Gujarat,Junagarh,Visavadar,"Groundnut (Split)",Groundnut(Split),FAQ,19/02/2025,5375,6375,5875
Gujarat,Junagarh,Visavadar,Soyabean,Black,FAQ,19/02/2025,3105,3855,3480
Gujarat,Kachchh,Anjar,Jowar(Sorghum),Other,FAQ,19/02/2025,3900,3900,3900
Gujarat,Kachchh,Rapar,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,19/02/2025,2565,0,2565
Gujarat,Kachchh,Rapar,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,19/02/2025,19190,19695,19440
Gujarat,Kheda,Kapadvanj,Brinjal,Other,FAQ,19/02/2025,400,700,500
Gujarat,Kheda,Kapadvanj,Cauliflower,Other,FAQ,19/02/2025,1000,1300,1100
Gujarat,Kheda,Matar,Paddy(Dhan)(Common),Other,FAQ,19/02/2025,2610,2650,2630
Gujarat,Kheda,Nadiad,Potato,Other,FAQ,19/02/2025,1100,1250,1150
Gujarat,Kheda,Nadiad,Potato,Other,Non-FAQ,19/02/2025,700,900,800
Gujarat,Kheda,Nadiad,Tomato,Other,Non-FAQ,19/02/2025,600,800,700
Gujarat,Kheda,Nadiyad(Chaklasi),Brinjal,Brinjal,FAQ,19/02/2025,400,500,450
Gujarat,Kheda,Nadiyad(Chaklasi),Coriander(Leaves),Coriander,FAQ,19/02/2025,700,900,800
Gujarat,Kheda,Nadiyad(Chaklasi),Potato,Potato,Non-FAQ,19/02/2025,750,850,800
Gujarat,Mehsana,Mehsana,"Bajra(Pearl Millet/Cumbu)",Local,Non-FAQ,19/02/2025,2585,2585,2585
Gujarat,Mehsana,Mehsana,Wheat,Local,FAQ,19/02/2025,3125,3250,3200
Gujarat,Mehsana,Mehsana(Jornang),"Bajra(Pearl Millet/Cumbu)",Local,Non-FAQ,19/02/2025,2530,2530,2530
Gujarat,Mehsana,"Mehsana(Mehsana Veg)","Green Chilli","Green Chilly",FAQ,19/02/2025,500,3000,1900
Gujarat,Mehsana,Unjha,"Corriander seed","Coriander Seed",FAQ,19/02/2025,8875,8875,8875
Gujarat,Mehsana,Vijapur,"Castor Seed",Other,FAQ,19/02/2025,6105,6400,6300
Gujarat,Mehsana,Vijapur,Groundnut,Balli/Habbu,Non-FAQ,19/02/2025,4750,5805,5100
Gujarat,Mehsana,Visnagar,"Castor Seed",Other,FAQ,19/02/2025,6000,6390,6195
Gujarat,Mehsana,Visnagar,"Guar Seed(Cluster Beans Seed)",Other,FAQ,19/02/2025,4170,5057,4613
Gujarat,Morbi,Halvad,"Bengal Gram(Gram)(Whole)",Other,FAQ,19/02/2025,5070,5340,5250
Gujarat,Morbi,Halvad,"Castor Seed",Other,FAQ,19/02/2025,6000,6280,6200
Gujarat,Morbi,Halvad,"Corriander seed",Other,FAQ,19/02/2025,5250,7200,6000
Gujarat,Morbi,Halvad,"Cummin Seed(Jeera)",Other,FAQ,19/02/2025,18750,21050,20100
Gujarat,Morbi,Halvad,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,19/02/2025,7505,10400,9250
Gujarat,Morbi,Morbi,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,19/02/2025,4750,5440,5095
Gujarat,Morbi,Morbi,Cucumbar(Kheera),Cucumbar,FAQ,19/02/2025,2000,3500,2750
Gujarat,Morbi,Morbi,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,19/02/2025,18000,19900,18950
Gujarat,Morbi,Morbi,Onion,Onion,FAQ,19/02/2025,1000,3000,2000
Gujarat,Morbi,Vankaner,Wheat,Other,FAQ,19/02/2025,2450,3330,3100
Gujarat,Narmada,Rajpipla,Banana,Other,Large,19/02/2025,2025,3150,2510
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,19/02/2025,1750,2500,2125
Gujarat,Navsari,Navsari,Coriander(Leaves),Coriander,FAQ,19/02/2025,2500,3000,2750
Gujarat,Navsari,Navsari,Potato,"(Red Nanital)",FAQ,19/02/2025,1000,2050,1525
Gujarat,Patan,Chansama,Cotton,RCH-2,FAQ,19/02/2025,6380,6880,6630
Gujarat,Patan,Chansama,Mustard,Other,FAQ,19/02/2025,4585,4995,4790
Gujarat,Patan,Harij,Mustard,Other,FAQ,19/02/2025,5025,5450,5240
Gujarat,Patan,Siddhpur,Soanf,Soanf,FAQ,19/02/2025,7055,10705,8880
Gujarat,Porbandar,Porbandar,Apple,Apple,Large,19/02/2025,8000,11000,9500
Gujarat,Porbandar,Porbandar,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",Non-FAQ,19/02/2025,7350,7350,7350
Gujarat,Porbandar,Porbandar,Chikoos(Sapota),Other,Large,19/02/2025,4000,5000,4500
